Name,Latitude,Longitude
"marolante",-8.3943,120.8894
"phumi khnao",11.35,104.7166667
"pravdinskaya",56.3287,87.1717
"ladho dero",26.911383,67.411121
"alferzhagen",50.966667,7.566667
"tefikro",7.587718,-3.673841
"sangdogop",38.7075,126.7363889
"el juan",8.1833333,-81.3666667
"yetsou ii",-2.15,10.6666667
"salovskiy",54.716667,101.066667
"dulbah",7.0661111,28.7497222
"sangbulli",11.15,-0.1666667
"akohegy",46.833333,18.833333
"starowelitschkowskaja",45.428836,38.732614
"freeport city",26.5333333,-78.7
"uggl",47.283333,12.583333
"podlipnik",44.0305556,18.5630556
"elemegi",38.080347,43.565614
"sitio tadeu jurlinski",-25.999444,-49.723611
"balanfe",9.1,-8.5666667
"mormukhi",51.8883,35.7694
"songhyonmal",39.3822222,126.5116667
"bjornaa",65.8,13.25
"ajinocar",40.6641667,19.7161111
"orzhev",50.752268,26.11907
"qasim mari",27.167901,68.323409
"moulo",10.6666667,-3.1166667
"gujingsi",30.541474,105.245887
"boagis",-9.0666667,152.4666667
"skidniow",51.719452,15.948755
"duhkiyun",27.703763,67.73965
"hobar",44.9852778,15.1380556
"listets",42.8666667,27.1333333
"schlagtow",54.016667,13.5
"cooper river landing",32.1336111,-80.8691667
"mulazi",0.95,34.2166667
"lientanshih",22.933333,111.716667
"ape dialoube",15.0166667,-12.75
"touire",12.2166667,-0.5
"asharo sar",34.695627,72.673347
"amboaksina",-18.2166667,47.8833333
"banjar tengah",-8.11,115.1331
"niescienieta",54.4666667,26.2333333
"siedlung nordhorner strasse",52.466667,7.183333
"chernyakhuv",50.441498,26.560591
"trigup",9.691,123.4147
"khuda bakhsh jhullan",29.278193,70.345959
"wan makhko-pa-hka",20.7666667,99.85
"hannaouye",37.1013889,42.1225
"barmesh",38.4837,46.9123
"las tres rayas",27.433333,-109.266667
"shenwancun",22.766132,113.572851
"kar'yayi-cholava",32.402809,62.11882
"ban nong teu",19.316667,103.183333
"liangmeng",25.451626,116.658211
"abu chattat",32.4033333,46.7247222
"lachapelle-sur-poix",49.764558,1.958253
"tel'khalef",37.142222,40.836111
"liujiapeng",29.489887,118.33434
"nova soure",-11.233333,-38.483333
"joubb el kirade",36.3166667,38.4666667
"dost ali ustrani shahr",30.06223,68.844916
"cross hill",34.3047222,-81.9830556
"malik nazar kili",30.5675,66.543333
"tianzhongjian",26.150833,111.346389
"serembai",1.233333,111.833333
"tort'n",39.3002778,46.3291667
"timina",56.942139,73.824368
"ban dong tae",17.120584,104.289778
"brovg",38.4972222,71.0363889
"le pinier",46.501124,0.449358
"konj",34.152778,68.258056
"yonghungniilgu",34.859722,126.7525
"mpange",-9.8166667,31.0833333
"kolebur",10.95,-0.1
"khothanwali",29.704167,71.095833
"canute",35.4219444,-99.2791667
"marokfold",46.716486,16.442578
"qetar",39.088889,47.829167
"sinnakoramoddai",8.9833333,80.65
"jimuzhuang",25.538889,118.183611
"old hilltown",36.6313889,-121.6683333
"bainkobiru",44.5333333,100.1333333
"rajeklor",-7.753056,110.331111
"sece muizas centrs",56.55,25.3833333
"joy-i-begum",37.142992,68.950281
"gavrow",31.261367,50.444152
"gaozixu",31.018766,120.99682
"el navete",8.0,-69.2333333
"villora del arzobispo",39.733333,-0.816667
"ban plai thon",8.983333,99.916667
"akka iren",29.991776,-7.534388
"yenhaitsun",30.887778,121.675833
"muzhaka",40.4088889,20.2555556
"yapan",49.9,136.65
"vina quemada",-19.4,-64.9
"gbei",7.1166667,-8.8166667
"hundslund",55.91595,10.052065
"menesble",47.772782,4.897039
"nizhniye tsinubani",42.1186111,45.2777778
"sitio gonzalez",20.8833333,-77.4
"kostonaya",51.4921,35.6813
"grosswechsungen",51.5,10.7
"king amphoe la-un",10.115556,98.749917
"crangu sihla",45.483333,27.1
"punta gorda isles",26.9172222,-82.0786111
"dadik",25.590639,60.876287
"sluzanj",43.2311111,17.6663889
"bohorok",3.4923,98.1843
"kafrul",23.7833333,90.3833333
"bethalto",38.9091667,-90.0405556
"barrinding",13.4902778,-16.4644444
"ardtoe",56.75,-5.866667
"kanhsili",30.566667,118.383333
"vasilevskiye",52.2333333,30.65
"haast",52.95,8.2
"ouapombo",5.75,20.05
"kasanjol",37.0599,128.0967
"bontokaddopepe",-5.2621,119.4259
"skombeni",-26.4,31.35
"assorajang",-4.6827,119.5912
"bezyvanovka",44.41,43.084167
"forby",58.9997222,23.1516667
"ekong",5.2333333,8.8333333
"neu luckwitz",53.516667,11.15
"tamtorabi",37.4456,46.7475
"kataucyzna",54.7638889,22.8819444
"khizhnyakovo",50.311971,37.460268
"etamayen",0.25,9.6333333
"shenchiachen",31.05,118.85
"gutvik",65.083333,11.833333
"hourate aammourine",35.3166667,36.35
"zarnikh",25.2663889,32.5944444
"bolingela",-0.633333,23.433333
"puusepa",57.8516667,27.0683333
"foo",1.2666667,10.9333333
"ogureckaja",56.15,27.15
"ziaj",40.3225,19.9866667
"ricourt",43.487347,0.175481
"konail",23.7166667,89.7
"thumgaon",26.9833333,89.9666667
"shelubey",54.6964,42.7147
"mujhpathar",33.883333,74.616667
"allah wasaio chachar",28.088069,69.341773
"gushtyn",48.895334,26.127587
"amonoy",14.1207,121.4894
"tyubelyakh",65.383333,143.166667
"dumba cabango",-10.348233,17.426016
"achlu",36.526955,50.958976
"zhihaimaixiangka",36.235384,99.764822
"jow poshtan",37.124444,50.286667
"ingeniero l.a. huergo",-39.083333,-67.233333
"la maillardiere",48.0005,-1.219082
"sayyid bay kuti",34.926055,62.240972
"novyye karishidy",54.881005,56.301463
"gorfigliano",44.15,10.25
"borivtsi",48.586108,25.640408
"gombosh",45.530556,19.132778
"kekeran",-8.447,115.1256
"ogultasi",39.723227,40.040957
"jelisa",9.316667,38.5
"belovtsy",48.514864,26.366714
"barbacora",-6.015,-79.0744444
"m'fio",-26.1166667,32.2
"catulaca",14.1166667,-88.6833333
"colline kibazi",-2.4833333,29.0666667
"sacaundo",-12.966667,15.95
"ban hatkham",20.154722,100.71
"congoloti",-25.845,32.5455556
"doufio",7.55,1.1333333
"shveynaya vtoraya",54.4927,42.8467
"changpungni",40.0833333,127.4333333
"puca koka",-21.75,-67.3333333
"derevni",57.038755,39.264159
"idorax",29.43,-10.1
"dzeguzeni",56.4133333,23.4113889
"poduri de jos",45.75,26.75
"sarnjollas",40.2602778,20.5969444
"menjalutung",3.65,117.166667
"cira",35.2041667,33.0625
"mantepa",-11.9,33.0833333
"taraksukoyu",38.016667,39.083333
"huochuankou",38.430556,113.4875
"quarrington",52.966667,-0.416667
"alleyrac",44.8906,3.985743
"kurtluhan",41.669029,34.861745
"hacienda luzun chico",-0.75,-78.65
"rossiyeny",55.3736111,23.1216667
"phum tong",12.3166667,105.1166667
"kivinga",9.2166667,1.1
"qal`eh-e- `aliabad",29.933333,53.933333
"ploniawy",52.979934,21.063268
"przyton",53.542036,15.613618
"mullen",48.466667,7.833333
"pasveh",36.798,45.3299
"dakkah sarcham",34.4666667,45.2166667
"taman jelutung",5.362785,100.546218
"kostandovo",42.0166667,24.1166667
"bhodisar",24.3995,70.7359
"quinguenda",-10.076061,15.380639
"mahader",32.998611,74.330556
"u krizkov",48.7833333,17.5833333
"matimbwa",-6.5,38.8666667
"sonder bjert",55.452724,9.56741
"gerektyevo",59.566667,40.583333
"billi weyn",0.9258333,42.5844444
"merinagher",15.95,-15.9666667
"gowong",-7.336111,110.425278
"diamante alto",-5.7022222,-78.3480556
"el hamia",34.1666667,3.55
"matundel",-25.2166667,32.1333333
"isaheny-anivorano",-22.8166667,45.3333333
"as salman",30.5016667,44.5469444
"weckalay",31.80555,67.573666
"laskarak",32.228577,64.691372
"benli",19.847296,110.496892
"guatisimina",4.55,-63.95
"argilia",36.5833333,22.4666667
"zaozertsy",54.5833333,26.25
"el ghabe",33.8458333,35.9708333
"sabratne",48.689459,14.346361
"lubuk",4.2769,96.069
"gumbur jalelo",9.7666667,44.3
"shinkashara",46.868889,45.721389
"caserio belgica",5.328874,-71.487561
"anyinaso",6.7,-2.0166667
"aviario",-12.3,-38.933333
"mollahasansufla",39.366667,43.066667
"pallocan",13.7534,121.0652
"zambisa",-0.15,-78.4333333
"dahhan",13.7666667,44.3166667
"briskovo",57.602974,41.502248
"rang mena",34.417854,71.586294
"yongjiamiao",30.811171,104.278925
"zacatlan de las manzanas",19.933333,-97.966667
"corneuil",49.883333,1.15
"yasilkoy",37.963824,40.121418
"avdancik",40.672277,31.428722
"kulcsar karcsa",47.9666667,17.5333333
"dergiviz",37.515736,40.641104
"gourar sidi 'abdarahmane",29.717958,-9.830939
"eniangamba",-1.5638889,15.8869444
"aneintaunggyun",21.5166667,95.3666667
"dominanga dusun 2",0.3416,123.8124
"gumbanglama",-8.2741,116.3463
"timpolac",10.283333,123.95
"khorosino",55.134569,37.121352
"podjak 2",-6.998611,107.515278
"zhenovets",52.515966,37.192869
"seingwin",17.9833333,95.15
"seochai",22.425833,101.734167
"wuas",-8.574,120.6267
"demircikoy",38.083611,29.398889
"umu opara",5.637168,7.266869
"casualidad",22.5,-83.6
"zarovnya",50.865697,27.687895
"matancan",15.029444,121.893889
"ciguruwik",-6.934444,107.729444
"congshupai",27.895833,111.730833
"tang kui",18.4,109.730278
"bealey",-43.033333,171.6
"lonnhammar",60.183333,23.65
"serracin",41.298919,-3.340803
"shabyugon",18.4166667,95.3666667
"aliti",-13.1833333,40.0833333
"sienica swiechy",52.811396,22.418527
"nayantza",-2.8213889,-77.4344444
"sabowidoro",-7.371,112.6392
"hohenried",47.866667,11.283333
"uzun gyuney",43.0,26.05
"pal'tu",34.246545,64.274697
"petteline",45.6919444,14.1961111
"rechberghausen",48.733333,9.633333
"dafouk",12.2333333,14.5833333
"ghabina",26.2477778,56.3688889
"baugnez",50.4,6.066667
"narwal",32.661111,74.940278
"noria aguila",29.583333,-110.466667
"khao",35.6548,46.0659
"attnang",48.016667,13.716667
"bayt al hishah",36.3333333,39.0166667
"dushkachen",55.833333,109.666667
"gudki vdovkiny",59.18,50.643889
"suhareva",60.883333,36.15
"dad head",30.973172,71.251443
"sagoumou",14.5,5.3666667
"fantzupa",23.7366667,120.7630556
"el tuma",13.0666667,-85.75
"mohuri",27.816667,52.733333
"carpineta",44.183333,11.066667
"pungpahkyem",19.8833333,98.9333333
"karanggan",-7.1848,113.2443
"nkiko",5.0833333,9.8
"dalimag",17.49,120.5997
"tongju",38.600833,117.194722
"pauwen",53.259132,6.768464
"ban suoi man",21.116667,104.883333
"daudzesa",56.4666667,25.2333333
"bois-de-cise",50.087459,1.428106
"yamenyingtzu",42.383333,121.05
"chenjiaqiao nongchang",26.159931,116.870821
"powelton",38.8869444,-75.5755556
"nawsing nok",26.65,95.9833333
"mayo jigawal",7.15,11.283333
"kenedy",28.8188889,-97.8483333
"hsichianghu",23.2333333,120.4
"lal shah koruna",34.221549,71.7991
"cuar an chlair",52.7008333,-9.4208333
"ban mae-o nai",19.296472,98.996889
"chabanis",44.869645,4.101186
"korubasi",40.946827,36.202354
"ighzazene",35.366352,-3.011889
"stralevo",59.266799,39.343727
"agiuual",7.766667,33.933333
"balaidjoengkat",1.25,109.366667
"qupali mahalleh",36.65,52.933333
"falme",12.6,2.85
"rancho los parianes",24.5,-99.2
"tell tokan",35.8166667,36.95
"masangan-kulon",-7.3877,112.6849
"`izbat abu `amr",30.7158333,31.64
"gundi zun reshi",34.461111,74.016667
"besullo",43.186149,-6.633692
"tiegaixiang",35.995788,100.207162
"cadoux",-30.783333,117.133333
"les clairs",46.152059,3.050226
"bankoma",13.3833333,-3.8
"zhujiabao",30.068649,110.303342
"dibaig",57.566667,-5.666667
"mabengo",-4.3663889,15.1261111
"ouchak",38.673511,29.405799
"bairro marli",-23.859609,-50.395315
"mebalan",18.6166667,96.6
"dakshin chandibardi",23.65,90.5833333
"bermuda palms mobile park",33.7102778,-116.2538889
"la tour de faure",44.466144,1.693838
"darrah zargar",34.59129,68.966926
"turriff west",-35.45,142.366667
"willija",6.9333333,-10.9833333
"roshchelevo",58.2629,28.7956
"geweihtenbrunn",50.416152,14.457732
"ucgoze",39.5578,43.907412
"xuelang",32.491667,120.283333
"fort-saint",36.434824,10.565897
"qaryeh-ye saraw",32.913078,66.990701
"sebadoe",0.366667,109.466667
"kafukanya",-13.2333333,28.45
"lombango",-12.666667,14.65
"tra peang pring",12.4833333,106.0333333
"teluk panglima garang",2.916667,101.466667
"keiritsuri",34.508333,126.817778
"hirschwang",47.7,15.816667
"girmasek",37.180833,40.818611
"kucukkonak",40.093133,41.952693
"bao nang",21.566667,105.966667
"mbuamena",-8.3833333,160.5666667
"puduppadi",11.5,75.966667
"ap my tay",10.45,105.716667
"koppendries",50.966667,4.366667
"nwinso",6.4666667,-0.9333333
"oficina perseverancia",-23.05,-69.4
"namanagarh",18.866667,84.1
"staryy uryup",55.833611,89.334722
"assemmer",31.982176,-6.763317
"pukalokedo",-9.4548,119.3912
"kommunal'naya",51.2,79.616667
"poulithra",37.1,22.8833333
"tas hel",33.283494,49.530817
"zakrinichnyy",53.0475,30.9894444
"ballidere",40.686801,36.262565
"kefar yarqanim",32.132222,34.922222
"tanwax",47.0036111,-122.2422222
"alhajuela",-1.0666667,-80.2833333
"kreckersweg",51.1,7.216667
"shabra",33.962136,71.815819
"xom boi loi",11.166667,106.383333
"tahtalidedeler",37.387519,36.941318
"corregimiento la sierpita",8.470555,-74.864637
"bat-e bozorg",26.7433,62.7107
"braeton",17.95,-76.9
"a yin",15.916667,107.633333
"gurnai",41.050556,101.773333
"yoshigasawa",38.471937,141.006682
"visyuchiy bor",57.6416,32.1429
"deridat",42.0,19.45
"qovil-e pa'in",30.6575,49.5598
"fahrstedt",53.95,9.016667
"mecharevo",42.5833333,26.2833333
"tompek",-8.7394,116.3645
"pjatichatka",48.411404,33.697817
"pakelkope",-8.170833,110.790278
"gangyeren",8.733333,12.016667
"seiboldsricht",49.6,11.75
"lamarosa",40.227645,-8.571361
"la cavalerie",44.008246,3.158931
"abwel",0.6880556,34.0388889
"shalili-ye kuchek",31.9628,48.8944
"ozanes",43.370288,-5.182782
"pukchon",39.7094444,127.4033333
"laprugne",45.986212,3.742443
"clanz",45.5941667,13.9233333
"gradnitza",42.95,24.9666667
"mamadarghan",33.665815,65.145946
"machenkrogs",56.3833333,24.4
"tunganshih",28.56051,114.893011
"olho-d'agua do abraao",-3.688889,-43.2375
"serra morena",-23.233333,-50.85
"reventin-vaugris",45.463804,4.837688
"huangchiao",33.874444,116.773611
"sankt rupercht",47.1,14.016667
"kangordu",8.5166667,-10.8333333
"basti jam suleman",28.606773,70.473694
"ait simouri",31.36,-9.2
"aziziye",36.1,37.3666667
"villahde",60.95,25.866667
"kosinka",58.434851,50.831146
"serkeli",37.557066,43.604745
"barlose torp",55.324748,9.958926
"xinkejiafang",30.376988,114.233433
"karindah",34.756526,69.146167
"sarai mahaji",31.502778,71.238889
"aubeangai",-0.6833333,174.4666667
"katlawaris shah",30.210453,71.425732
"zarauz",43.283333,-2.166667
"zhangchenjiagou",33.501392,105.856162
"shumshora",56.102324,53.656906
"camutog",17.016667,121.7
"mermery",36.803889,37.741389
"makhati",42.3013889,42.2905556
"aerde",35.727533,102.364211
"slowacinek nowy",52.035465,23.030855
"chambesy",46.242432,6.143504
"caja de agua",18.958333,-100.283333
"niplepo",4.9666667,-8.5333333
"fasse guela",15.3,-9.95
"novo-krasnovarskova",44.648611,133.8175
"gbakorahoin",5.869583,-5.841004
"ludung",12.8,24.0
"plettenburg",51.083333,7.2
"fayki",52.438881,32.073183
"birkirkara",35.897222,14.461111
"luochangyuan",28.907106,110.481073
"wangom",33.566667,75.35
"tha hin",14.798084,100.653972
"shongolo-kashosho",-4.75,20.75
"goth kachhi khan",24.501521,67.789451
"schlesiersee",51.879846,16.072556
"sizino",56.492943,40.603382
"inchuri",-13.0452778,38.8311111
"bruyere",50.666667,4.133333
"sitio ouro branco",-23.861932,-50.31951
"hojslev stationsby",56.551043,9.110073
"sunsongmyon",36.8481,126.71429
"klukowicze",52.406002,23.273144
"rollet",47.933333,-79.25
"malgamuwa",7.3333333,80.1166667
"homesti",45.383333,26.966667
"jaryan",36.223027,69.625238
"sayan neua",15.185278,107.088056
"avondale estates",33.7713889,-84.2672222
"jl. malabar",-6.599167,106.808056
"nattarev",12.816667,79.5
"lake margrethe",44.6416667,-84.7702778
"beishuiquanzi",41.236762,122.439801
"maly beysug",45.886944,38.703333
"chungyangori",39.6983333,125.6286111
"boby",53.4333333,28.2833333
"mertayasa wetan",-7.423611,109.583889
"fadawa",11.5685,11.0097
"ruytersbosch",-33.945915,22.034865
"bodaq beyg",37.2406,47.5018
"kolomodhia",39.0977778,20.9805556
"leifringhausen",51.216667,7.666667
"dubiazyn",52.685477,23.193971
"nankangshang",34.5225,118.118611
"ciheranggede",-6.704722,106.863056
"tjurahmalang",-7.516667,112.366667
"los estados",10.535833,-72.919444
"odunaro",8.05,3.45
"jlupominggiran",-7.428889,110.181389
"patratu",23.666667,85.283333
"koopmansfontein",-28.233333,24.033333
"balatitola",18.5,96.4666667
"hayy al karamah",33.4236111,43.2652778
"margerides",45.45,2.4
"vapahgaon",18.883333,73.983333
"tievopleu",7.080199,-8.136994
"bougouba",12.8666667,-7.25
"tinajuela",22.066667,-101.9125
"feyt",45.7,2.483333
"gold",33.588889,74.144444
"tovakundum",-4.2,152.0333333
"nevzorovo",52.616648,32.95768
"jongoia",-6.0123,120.4559
"lijiayapingli",34.74947,104.252821
"chiaopingchen",35.302778,108.955
"wailou",27.531287,119.547985
"gorom",5.8333333,15.3166667
"gara laculete",45.016667,25.4
"ogbodu",6.379322,6.458591
"`abdolabad-e bala",34.612046,50.069175
"yanhuitlan",17.533333,-97.333333
"wan mu-hso sa-hsa-law",21.0666667,99.95
"pellegrin",-20.2775,57.6791667
"trebicina",43.4919444,18.6741667
"panuidong",37.745833,127.711111
"les peynes",44.833333,6.133333
"pommeuse",48.816667,3.016667
"phumi anhchanh (2)",11.65,105.7333333
"khvajeh tavalian",35.855003,69.279962
"jiddawi",36.8491667,41.7730556
"ban houei sadoung",19.962778,103.926111
"arjrud",35.0636,49.9032
"yaxchen",20.05,-88.095833
"saoemang",-3.133333,100.333333
"watulai",-5.816667,134.783333
"batey guayacan",18.2833333,-71.15
"kutumpai",-3.75,17.366667
"elali niaroual",15.5,-12.5
"balinguay",16.366667,120.683333
"cukakat",40.7302778,19.7905556
"yaogangxing",30.907788,121.434899
"kudirkos-naumestis",54.7730556,22.8630556
"nagla dobha",26.9326,79.7109
"la veguilla",43.359194,-4.099774
"vila formosa",38.772609,-9.128755
"ap rach meo",9.983333,105.1
"kozivka",49.395476,25.80164
"tell hneita",35.2166667,37.4333333
"nakanga",-15.75,28.0333333
"ausser dem steinhubel",48.571111,16.522222
"aikdewa selatan",-8.5947,116.4715
"chemulpo",37.453611,126.731667
"inhacososo",-15.6936111,31.5597222
"sakchodong",39.1733333,126.7041667
"geyran",39.473631,38.666101
"nururi",37.7302,128.8098
"soderharg",60.333333,18.4
"iena",-6.183333,13.433333
"amphoe ban mo",14.615445,100.727306
"kiefernwalde",51.476353,17.210005
"poblacion west",16.0411,120.7888
"bashlyaki",58.07244,49.957601
"frischwinkel",49.2,13.216667
"fakore",7.668333,3.893333
"na-kyeng",22.8166667,97.5666667
"godfreys",18.2333333,-77.0166667
"marrocos nova",-11.433333,-42.316667
"pangajar",-7.7639,112.3762
"`izbat al alfi",31.3472222,31.6069444
"salje",60.5,14.85
"kyaukkyibyin",19.5166667,93.7
"ban non sanguan",17.105833,102.213333
"obelyno naujasis",55.4761111,22.3172222
"kourgoula",12.7666667,23.3
"hsienjentu",32.260278,111.712778
"rai dan",13.0,99.9
"nanbianpo",21.497464,111.091667
"sarbanlar",35.0015,48.2698
"chocorungue",10.627264,-73.627264
"ferala",14.9666667,-15.7
"llacuapampa",-11.3288889,-76.6355556
"ruthin",53.116667,-3.3
"rumpetorp",56.3,15.633333
"utyazhkino",53.7953,48.6708
"ban nahouang",20.579444,101.925833
"goailbari",23.9833333,90.5333333
"songoriba",12.2166667,-10.0166667
"belaunza",43.134885,-2.050881
"zibug",30.401,93.601
"campo buenos tiempos",32.165,-115.271389
"oyoran",-7.6539,112.8223
"taourirt ijjanatene",30.832825,-8.480986
"malyye chernokontsy",48.978491,25.999071
"meydandagi",39.171364,43.10359
"malbosici",44.8175,16.9841667
"barrio la estacion",40.629371,-4.007281
"tegalpanjang tengah",-6.2675,107.630833
"kampong terasak",5.95,117.35
"lianlu",35.014364,103.745598
"starki",54.744916,35.999339
"hujiabao",32.816667,120.216667
"ban noen phun sin",12.788056,101.763056
"palmistre obio",18.4166667,-72.4
"moteykovo",55.65,28.5666667
"casa margherita",39.133333,17.083333
"haji sulaman summra",25.105656,68.513457
"shegarai",33.760095,69.638277
"ntubeni",-32.3,28.8
"londuimbali",-12.237121,15.316968
"wan yaklang",21.3833333,99.9833333
"tanahinalit",-8.6744,116.318
"ukegh",7.662,8.1704
"minikerep",-7.780278,110.831389
"pokolwe",-9.7166667,32.9333333
"vujacici",44.0155556,16.6941667
"smolinskiy",55.0686,61.4057
"kot chhatta",30.105519,72.574042
"garin barso",13.6,6.7833333
"kramatorskaja",48.72305,37.556287
"volkhovets",48.560532,26.150785
"pietkowo",52.90067,22.877974
"dzhugastrova",47.087036,30.594736
"kalantyr",51.015833,81.106667
"heonbada",37.2218,127.529
"ludbreska luka",46.2886111,16.58
"qaryeh-ye now",33.948889,68.958333
"gjulerkioj",43.55,27.1666667
"perkampungan kahang timur",2.0923,103.4899
"goth bachchal shah",24.721647,68.211408
"mrayun kidul",-6.8783,111.5871
"letran",14.583333,-90.383333
"uchitpur",23.75,90.6833333
"varslan",58.533333,13.316667
"villamana",42.488471,-0.02232
"ndikdokine",14.6,-16.6333333
"idheze",5.506964,6.28213
"goth trikhmar",24.638077,68.237455
"el lucmo",-5.1202778,-79.71
"guanwufangwan",30.194797,115.314663
"verkhneye zarechye",57.833333,43.716667
"houtan",29.809747,117.678584
"puiflijk",51.878517,5.589304
"lesopunkt kuna",67.9,33.5
"diatame",12.8,-14.3833333
"kampong lubok teretai",4.75,114.85
"caiolo",-11.633333,17.533333
"hedwigsburg",52.1,10.583333
"halibey",36.473611,36.2375
"xingdong zhen",32.082653,120.968285
"vila-nova",-12.566667,16.233333
"yangmin",25.008588,116.037837
"kombila",-6.333333,17.5
"sanbaran",38.5775,47.2162
"west hillsborough",36.0744444,-79.1197222
"le moulin-eve",47.539519,-1.617048
"alto allegre",-30.7232,-52.3438
"hazardarakht",33.476531,65.698175
"lannabruk",59.233333,14.933333
"berubuaye",10.5419444,2.7255556
"amstelveen",52.310658,4.876789
"celemu",-14.8,35.0
"bay branch",32.0863889,-81.9758333
"igneteyevka",52.5092,35.3817
"moneron",46.283333,141.216667
"muang samudh sagorn",13.54753,100.273622
"mo kak",13.65,103.6833333
"caserio arroyo grande",9.895174,-75.355084
"dhok atrewali",33.474624,72.694698
"alcabideche",38.73366,-9.409278
"gross-mergthal",50.806614,14.679295
"musao",-6.85,24.333333
"villacomparada de rueda",42.951756,-3.556741
"forest mill",56.116667,-3.666667
"mphita",-14.1166667,31.7666667
"billeilji toboni",8.9333333,44.55
"chingkangpu",31.85,117.133333
"mas-de-londres",43.784082,3.755782
"cochayquillo",-10.195,-76.1988889
"adams basin",43.1975,-77.8541667
"haut coron",50.483333,3.833333
"balintz",45.8125,21.853611
"taxtabasi",39.986944,46.36
"tsikalaria",36.2,22.9833333
"ban ha li tai",20.65,100.55
"saaguikro",7.423884,-4.644339
"ban bu ampao",14.410528,103.306278
"grimno",49.599945,23.768875
"cukanggaleuh satu",-6.685278,106.870833
"goreyeka",56.154821,57.746567
"banjar punggang",-8.1757,115.0181
"la llaneza",43.366667,-6.416667
"sinlabajos",41.076503,-4.832423
"qianrenqiao",31.466667,117.05
"cajatavi",15.816667,-91.716667
"loy zowaray",31.93,68.715833
"tigrasca",-17.8,-65.9833333
"quinchayo chico",-5.0030556,-79.8755556
"kaxsund",59.383333,14.316667
"amwalana",-15.85,23.9333333
"cardiff",-32.95,151.666667
"mauladin",28.378366,69.943177
"stockenweiler",47.616667,9.8
"cerzedelo",41.401277,-8.368883
"pommiet",-8.083333,139.216667
"mao pho",21.35726,105.2085
"thuitia",-1.0666667,36.8833333
"dak baye",14.85,108.4
"llangunnor",51.855556,-4.275556
"shcherbovo vtoroye",53.53993,36.057632
"cherry heights",45.6030556,-121.2397222
"memni",5.511212,-3.739945
"chesnes",45.652167,5.108123
"lolax",62.8,21.45
"houxing",32.589831,120.504312
"nakiwogo",0.0913889,32.4202778
"stare techanovice",49.818452,17.69417
"shudumtsy",57.7693,47.7059
"rumengol",48.3,-4.15
"cluain dolcain",53.3244444,-6.3972222
"leonin",51.110766,21.99724
"shihmen",29.629722,118.430556
"ageida",17.2833333,33.7166667
"fomachevo",50.5095,109.2655
"na`ura",32.614033,35.391679
"vieux joupas",18.8333333,-71.95
"anja-ampandrabe",-22.7833333,44.6333333
"kojapadu",-8.7124,122.2023
"lekolo",-1.5666667,13.2
"valvand",36.522111,52.783477
"joubbata zaite",33.2638889,35.7422222
"talun",32.443755,120.241918
"naraq",34.0111,50.8379
"wan hwe-hsai",19.5988889,97.7611111
"barosole",-7.6496,107.9523
"los huizaches",19.316667,-103.45
